File Name,Sliced File Name,Truncated Description,Description,Certainty
image1011,image1011_02_01.jpg,ski mask,ski mask,0.209715411
image1011,image1011_02_02.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.605241895
image1012,image1012.jpg,ski mask,ski mask,0.628440201
image1012,image1012_01_01.jpg,bonnet,"bonnet, poke bonnet",0.322991014
image1012,image1012_01_02.jpg,ski mask,ski mask,0.417374909
image1012,image1012_02_01.jpg,shower cap,shower cap,0.412846625
image1012,image1012_02_02.jpg,ski mask,ski mask,0.901902914
image1013,image1013.jpg,sleeping bag,sleeping bag,0.378290236
image1013,image1013_01_01.jpg,bonnet,"bonnet, poke bonnet",0.090019569
image1013,image1013_01_02.jpg,neck brace,neck brace,0.062439136
image1013,image1013_02_01.jpg,ski mask,ski mask,0.289338678
image1013,image1013_02_02.jpg,ski mask,ski mask,0.270400673
image1014,image1014.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.16820468
image1014,image1014_01_01.jpg,puck,"puck, hockey puck",0.312352091
image1014,image1014_01_02.jpg,dumbbell,dumbbell,0.040953197
image1014,image1014_02_01.jpg,envelope,envelope,0.273917794
image1014,image1014_02_02.jpg,corkscrew,"corkscrew, bottle screw",0.018649917
image1015,image1015.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.121605515
image1015,image1015_01_01.jpg,bonnet,"bonnet, poke bonnet",0.192736313
image1015,image1015_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.21700649
image1015,image1015_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.137696698
image1015,image1015_02_02.jpg,suit,"suit, suit of clothes",0.11805778
image1016,image1016.jpg,ski mask,ski mask,0.119905472
image1016,image1016_01_01.jpg,bonnet,"bonnet, poke bonnet",0.953922153
image1016,image1016_01_02.jpg,bonnet,"bonnet, poke bonnet",0.669250846
image1016,image1016_02_01.jpg,sweatshirt,sweatshirt,0.357393086
image1016,image1016_02_02.jpg,ski mask,ski mask,0.387910992
image1017,image1017.jpg,hair slide,hair slide,0.703644753
image1017,image1017_01_01.jpg,joystick,joystick,0.063939251
image1017,image1017_01_02.jpg,oxygen mask,oxygen mask,0.39494586
image1017,image1017_02_01.jpg,brassiere,"brassiere, bra, bandeau",0.163157746
image1017,image1017_02_02.jpg,diaper,"diaper, nappy, napkin",0.098161176
image1018,image1018.jpg,bikini,"bikini, two-piece",0.243650734
image1018,image1018_01_01.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.275646627
image1018,image1018_01_02.jpg,hair slide,hair slide,0.634877861
image1018,image1018_02_01.jpg,wig,wig,0.57351619
image1018,image1018_02_02.jpg,bikini,"bikini, two-piece",0.158690318
image1019,image1019.jpg,military uniform,military uniform,0.947464287
image1019,image1019_01_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.110772602
image1019,image1019_01_02.jpg,lighter,"lighter, light, igniter, ignitor",0.214134678
image1019,image1019_02_01.jpg,refrigerator,"refrigerator, icebox",0.279048383
image1019,image1019_02_02.jpg,hair spray,hair spray,0.659891069
image102,image102.jpg,shower cap,shower cap,0.563475907
image102,image102_01_01.jpg,Band Aid,Band Aid,0.063452616
image102,image102_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.122484572
image102,image102_02_01.jpg,plastic bag,plastic bag,0.441283137
image102,image102_02_02.jpg,shower cap,shower cap,0.745100141
image1020,image1020.jpg,shower cap,shower cap,0.330634594
image1020,image1020_01_01.jpg,hair slide,hair slide,0.320734888
image1020,image1020_01_02.jpg,bonnet,"bonnet, poke bonnet",0.287360132
image1020,image1020_02_01.jpg,bonnet,"bonnet, poke bonnet",0.773845613
image1020,image1020_02_02.jpg,stole,stole,0.291479081
image1021,image1021.jpg,picket fence,"picket fence, paling",0.273325801
image1021,image1021_01_01.jpg,worm fence,"worm fence, snake fence, snake-rail fence, Virginia fence",0.803325772
image1021,image1021_01_02.jpg,sunglass,sunglass,0.417587101
image1021,image1021_02_01.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.116847351
image1021,image1021_02_02.jpg,leatherback turtle,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.331243038
image1022,image1022.jpg,seat belt,"seat belt, seatbelt",0.414676577
image1022,image1022_01_01.jpg,seat belt,"seat belt, seatbelt",0.218246996
image1022,image1022_01_02.jpg,seat belt,"seat belt, seatbelt",0.358540028
image1022,image1022_02_01.jpg,sunglasses,"sunglasses, dark glasses, shades",0.191938996
image1022,image1022_02_02.jpg,seat belt,"seat belt, seatbelt",0.091743074
image1023,image1023.jpg,sunglass,sunglass,0.268057972
image1023,image1023_01_01.jpg,sunglass,sunglass,0.138388857
image1023,image1023_01_02.jpg,Weimaraner,Weimaraner,0.096377239
image1023,image1023_02_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.679810464
image1023,image1023_02_02.jpg,jersey,"jersey, T-shirt, tee shirt",0.086277105
image1024,image1024.jpg,swimming trunks,"swimming trunks, bathing trunks",0.823819339
image1024,image1024_01_01.jpg,pier,pier,0.301389337
image1024,image1024_01_02.jpg,pier,pier,0.342434436
image1024,image1024_02_01.jpg,swimming trunks,"swimming trunks, bathing trunks",0.30436784
image1024,image1024_02_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.214919865
image1025,image1025.jpg,maze,"maze, labyrinth",0.18036674
image1025,image1025_01_01.jpg,buckeye,"buckeye, horse chestnut, conker",0.48368901
image1025,image1025_01_02.jpg,gown,gown,0.396336645
image1025,image1025_02_01.jpg,daisy,daisy,0.577961564
image1025,image1025_02_02.jpg,lakeside,"lakeside, lakeshore",0.062184166
image1026,image1026.jpg,abaya,abaya,0.182759777
image1026,image1026_01_01.jpg,neck brace,neck brace,0.128185034
image1026,image1026_01_02.jpg,bonnet,"bonnet, poke bonnet",0.288741112
image1026,image1026_02_01.jpg,ski mask,ski mask,0.209715411
image1026,image1026_02_02.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.605241895
image1027,image1027.jpg,ski mask,ski mask,0.628440201
image1027,image1027_01_01.jpg,bonnet,"bonnet, poke bonnet",0.322991014
image1027,image1027_01_02.jpg,ski mask,ski mask,0.417374909
image1027,image1027_02_01.jpg,shower cap,shower cap,0.412846625
image1027,image1027_02_02.jpg,ski mask,ski mask,0.901902914
image1028,image1028.jpg,sleeping bag,sleeping bag,0.378290236
image1028,image1028_01_01.jpg,bonnet,"bonnet, poke bonnet",0.090019569
image1028,image1028_01_02.jpg,neck brace,neck brace,0.062439136
image1028,image1028_02_01.jpg,ski mask,ski mask,0.289338678
image1028,image1028_02_02.jpg,ski mask,ski mask,0.270400673
image1029,image1029.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.16820468
image1029,image1029_01_01.jpg,puck,"puck, hockey puck",0.312352091
image1029,image1029_01_02.jpg,dumbbell,dumbbell,0.040953197
image1029,image1029_02_01.jpg,envelope,envelope,0.273917794
image1029,image1029_02_02.jpg,corkscrew,"corkscrew, bottle screw",0.018649917
image103,image103.jpg,pop bottle,"pop bottle, soda bottle",0.642845631
image103,image103_01_01.jpg,pop bottle,"pop bottle, soda bottle",0.604376435
image103,image103_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.22814329
image103,image103_02_01.jpg,beer bottle,beer bottle,0.415355265
image103,image103_02_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.100430809
image1030,image1030.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.121605515
image1030,image1030_01_01.jpg,bonnet,"bonnet, poke bonnet",0.192736313
image1030,image1030_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.21700649
image1030,image1030_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.137696698
image1030,image1030_02_02.jpg,suit,"suit, suit of clothes",0.11805778
image1031,image1031.jpg,ski mask,ski mask,0.119905472
image1031,image1031_01_01.jpg,bonnet,"bonnet, poke bonnet",0.953922153
image1031,image1031_01_02.jpg,bonnet,"bonnet, poke bonnet",0.669250846
image1031,image1031_02_01.jpg,sweatshirt,sweatshirt,0.357393086
image1031,image1031_02_02.jpg,ski mask,ski mask,0.387910992
image1032,image1032.jpg,abaya,abaya,0.182759777
image1032,image1032_01_01.jpg,neck brace,neck brace,0.128185034
image1032,image1032_01_02.jpg,bonnet,"bonnet, poke bonnet",0.288741112
image1032,image1032_02_01.jpg,ski mask,ski mask,0.209715411
image1032,image1032_02_02.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.605241895
image1033,image1033.jpg,ski mask,ski mask,0.628440201
image1033,image1033_01_01.jpg,bonnet,"bonnet, poke bonnet",0.322991014
image1033,image1033_01_02.jpg,ski mask,ski mask,0.417374909
image1033,image1033_02_01.jpg,shower cap,shower cap,0.412846625
image1033,image1033_02_02.jpg,ski mask,ski mask,0.901902914
image1034,image1034.jpg,sleeping bag,sleeping bag,0.378290236
image1034,image1034_01_01.jpg,bonnet,"bonnet, poke bonnet",0.090019569
image1034,image1034_01_02.jpg,neck brace,neck brace,0.062439136
image1034,image1034_02_01.jpg,ski mask,ski mask,0.289338678
image1034,image1034_02_02.jpg,ski mask,ski mask,0.270400673
image1035,image1035.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.16820468
image1035,image1035_01_01.jpg,puck,"puck, hockey puck",0.312352091
image1035,image1035_01_02.jpg,dumbbell,dumbbell,0.040953197
image1035,image1035_02_01.jpg,envelope,envelope,0.273917794
image1035,image1035_02_02.jpg,corkscrew,"corkscrew, bottle screw",0.018649917
image1036,image1036.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.121605515
image1036,image1036_01_01.jpg,bonnet,"bonnet, poke bonnet",0.192736313
image1036,image1036_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.21700649
image1036,image1036_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.137696698
image1036,image1036_02_02.jpg,suit,"suit, suit of clothes",0.11805778
image1037,image1037.jpg,ski mask,ski mask,0.119905472
image1037,image1037_01_01.jpg,bonnet,"bonnet, poke bonnet",0.953922153
image1037,image1037_01_02.jpg,bonnet,"bonnet, poke bonnet",0.669250846
image1037,image1037_02_01.jpg,sweatshirt,sweatshirt,0.357393086
image1037,image1037_02_02.jpg,ski mask,ski mask,0.387910992
image1038,image1038.jpg,cleaver,"cleaver, meat cleaver, chopper",0.523503125
image1038,image1038_01_01.jpg,Windsor tie,Windsor tie,0.128799796
image1038,image1038_01_02.jpg,unicycle,"unicycle, monocycle",0.188858733
image1038,image1038_02_01.jpg,cleaver,"cleaver, meat cleaver, chopper",0.04305464
image1038,image1038_02_02.jpg,ski mask,ski mask,0.600165009
image1039,image1039.jpg,bell cote,"bell cote, bell cot",0.166493416
image1039,image1039_01_01.jpg,rugby ball,rugby ball,0.170638114
image1039,image1039_01_02.jpg,gar,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.090502307
image1039,image1039_02_01.jpg,bannister,"bannister, banister, balustrade, balusters, handrail",0.545720696
image1039,image1039_02_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.289638162
image104,image104.jpg,can opener,"can opener, tin opener",0.708072722
image104,image104_01_01.jpg,can opener,"can opener, tin opener",0.62713939
image104,image104_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.177334309
image104,image104_02_01.jpg,pop bottle,"pop bottle, soda bottle",0.297782838
image104,image104_02_02.jpg,sunglasses,"sunglasses, dark glasses, shades",0.099384457
image1040,image1040.jpg,tennis ball,tennis ball,0.150816217
image1040,image1040_01_01.jpg,swing,swing,0.10701105
image1040,image1040_01_02.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.045886356
image1040,image1040_02_01.jpg,sandbar,"sandbar, sand bar",0.166343898
image1040,image1040_02_02.jpg,tennis ball,tennis ball,0.978366554
image1041,image1041.jpg,knee pad,knee pad,0.199185103
image1041,image1041_01_01.jpg,bubble,bubble,0.864997566
image1041,image1041_01_02.jpg,bubble,bubble,0.998355806
image1041,image1041_02_01.jpg,bubble,bubble,0.819396555
image1041,image1041_02_02.jpg,bubble,bubble,0.929849267
image1042,image1042.jpg,seat belt,"seat belt, seatbelt",0.805499732
image1042,image1042_01_01.jpg,seat belt,"seat belt, seatbelt",0.817335129
image1042,image1042_01_02.jpg,seat belt,"seat belt, seatbelt",0.884985089
image1042,image1042_02_01.jpg,pajama,"pajama, pyjama, pj's, jammies",0.123425089
image1042,image1042_02_02.jpg,tench,"tench, Tinca tinca",0.228891507
image1043,image1043.jpg,shoe shop,"shoe shop, shoe-shop, shoe store",0.706788599
image1043,image1043_01_01.jpg,jersey,"jersey, T-shirt, tee shirt",0.194459811
image1043,image1043_01_02.jpg,plunger,"plunger, plumber's helper",0.222838849
image1043,image1043_02_01.jpg,jean,"jean, blue jean, denim",0.783005178
image1043,image1043_02_02.jpg,shoe shop,"shoe shop, shoe-shop, shoe store",0.086587101
image1044,image1044.jpg,racket,"racket, racquet",0.958521664
image1044,image1044_01_01.jpg,chainlink fence,chainlink fence,0.99486661
image1044,image1044_01_02.jpg,racket,"racket, racquet",0.516207814
image1044,image1044_02_01.jpg,racket,"racket, racquet",0.988311708
image1044,image1044_02_02.jpg,basketball,basketball,0.745233476
image1045,image1045.jpg,nipple,nipple,0.073262796
image1045,image1045_01_01.jpg,pajama,"pajama, pyjama, pj's, jammies",0.290601701
image1045,image1045_01_02.jpg,plunger,"plunger, plumber's helper",0.078744799
image1045,image1045_02_01.jpg,maraca,maraca,0.085146382
image1045,image1045_02_02.jpg,jean,"jean, blue jean, denim",0.329968005
image1046,image1046.jpg,abaya,abaya,0.182759777
image1046,image1046_01_01.jpg,neck brace,neck brace,0.128185034
image1046,image1046_01_02.jpg,bonnet,"bonnet, poke bonnet",0.288741112
image1046,image1046_02_01.jpg,ski mask,ski mask,0.209715411
image1046,image1046_02_02.jpg,hand blower,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.605241895
image1047,image1047.jpg,ski mask,ski mask,0.628440201
image1047,image1047_01_01.jpg,bonnet,"bonnet, poke bonnet",0.322991014
image1047,image1047_01_02.jpg,ski mask,ski mask,0.417374909
image1047,image1047_02_01.jpg,shower cap,shower cap,0.412846625
image1047,image1047_02_02.jpg,ski mask,ski mask,0.901902914
image1048,image1048.jpg,sleeping bag,sleeping bag,0.378290236
image1048,image1048_01_01.jpg,bonnet,"bonnet, poke bonnet",0.090019569
image1048,image1048_01_02.jpg,neck brace,neck brace,0.062439136
image1048,image1048_02_01.jpg,ski mask,ski mask,0.289338678
image1048,image1048_02_02.jpg,ski mask,ski mask,0.270400673
image1049,image1049.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.16820468
image1049,image1049_01_01.jpg,puck,"puck, hockey puck",0.312352091
image1049,image1049_01_02.jpg,dumbbell,dumbbell,0.040953197
image1049,image1049_02_01.jpg,envelope,envelope,0.273917794
image1049,image1049_02_02.jpg,corkscrew,"corkscrew, bottle screw",0.018649917
image105,image105.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.571687222
image105,image105_01_01.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.087057114
image105,image105_01_02.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.126947522
image105,image105_02_01.jpg,sunscreen,"sunscreen, sunblock, sun blocker",0.334509164
image105,image105_02_02.jpg,bathing cap,"bathing cap, swimming cap",0.274846375
image1050,image1050.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.121605515
image1050,image1050_01_01.jpg,bonnet,"bonnet, poke bonnet",0.192736313
image1050,image1050_01_02.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.21700649
image1050,image1050_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.137696698
image1050,image1050_02_02.jpg,suit,"suit, suit of clothes",0.11805778
image1051,image1051.jpg,ski mask,ski mask,0.119905472
image1051,image1051_01_01.jpg,bonnet,"bonnet, poke bonnet",0.953922153
image1051,image1051_01_02.jpg,bonnet,"bonnet, poke bonnet",0.669250846
image1051,image1051_02_01.jpg,sweatshirt,sweatshirt,0.357393086
image1051,image1051_02_02.jpg,ski mask,ski mask,0.387910992
image1052,image1052.jpg,screen,"screen, CRT screen",0.161238745
image1052,image1052_01_01.jpg,notebook,"notebook, notebook computer",0.092150427
image1052,image1052_01_02.jpg,web site,"web site, website, internet site, site",0.036441136
image1052,image1052_02_01.jpg,web site,"web site, website, internet site, site",0.144029945
image1052,image1052_02_02.jpg,digital clock,digital clock,0.132510573
image1053,image1053.jpg,jersey,"jersey, T-shirt, tee shirt",0.148481414
image1053,image1053_01_01.jpg,sweatshirt,sweatshirt,0.091617003
image1053,image1053_01_02.jpg,ocarina,"ocarina, sweet potato",0.304592133
image1053,image1053_02_01.jpg,sweatshirt,sweatshirt,0.710367978
image1053,image1053_02_02.jpg,sliding door,sliding door,0.058387782
image1054,image1054.jpg,sunglasses,"sunglasses, dark glasses, shades",0.044461366
image1054,image1054_01_01.jpg,gasmask,"gasmask, respirator, gas helmet",0.331120282
image1054,image1054_01_02.jpg,suit,"suit, suit of clothes",0.058624607
image1054,image1054_02_01.jpg,trench coat,trench coat,0.724520564
image1054,image1054_02_02.jpg,shoe shop,"shoe shop, shoe-shop, shoe store",0.121187188
image1055,image1055.jpg,seat belt,"seat belt, seatbelt",0.717295647
image1055,image1055_01_01.jpg,seat belt,"seat belt, seatbelt",0.509103715
image1055,image1055_01_02.jpg,seat belt,"seat belt, seatbelt",0.993758678
image1055,image1055_02_01.jpg,seat belt,"seat belt, seatbelt",0.250079185
image1055,image1055_02_02.jpg,seat belt,"seat belt, seatbelt",0.180674508
image1056,image1056.jpg,Band Aid,Band Aid,0.233435988
image1056,image1056_01_01.jpg,Band Aid,Band Aid,0.055965818
image1056,image1056_01_02.jpg,prison,"prison, prison house",0.049274817
image1056,image1056_02_01.jpg,plunger,"plunger, plumber's helper",0.13211368
image1056,image1056_02_02.jpg,harmonica,"harmonica, mouth organ, harp, mouth harp",0.052009292
image1057,image1057.jpg,swing,swing,0.064760119
image1057,image1057_01_01.jpg,horse cart,"horse cart, horse-cart",0.093476117
image1057,image1057_01_02.jpg,marimba,"marimba, xylophone",0.136976212
image1057,image1057_02_01.jpg,rugby ball,rugby ball,0.095634423
image1057,image1057_02_02.jpg,rugby ball,rugby ball,0.177972823
image1058,image1058.jpg,swimming trunks,"swimming trunks, bathing trunks",0.724485219
image1058,image1058_01_01.jpg,bathing cap,"bathing cap, swimming cap",0.295631051
image1058,image1058_01_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.841681719
image1058,image1058_02_01.jpg,swimming trunks,"swimming trunks, bathing trunks",0.65782088
image1058,image1058_02_02.jpg,doormat,"doormat, welcome mat",0.465277284
image1059,image1059.jpg,swimming trunks,"swimming trunks, bathing trunks",0.819432199
image1059,image1059_01_01.jpg,bikini,"bikini, two-piece",0.434044629
image1059,image1059_01_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.598184943
image1059,image1059_02_01.jpg,croquet ball,croquet ball,0.666326404
image1059,image1059_02_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.814251125
image106,image106.jpg,Band Aid,Band Aid,0.105406895
image106,image106_01_01.jpg,neck brace,neck brace,0.109575436
image106,image106_01_02.jpg,bow tie,"bow tie, bow-tie, bowtie",0.087268628
image106,image106_02_01.jpg,cowboy hat,"cowboy hat, ten-gallon hat",0.049940355
image106,image106_02_02.jpg,seat belt,"seat belt, seatbelt",0.072250172
image1060,image1060.jpg,lakeside,"lakeside, lakeshore",0.431272894
image1060,image1060_01_01.jpg,limousine,"limousine, limo",0.125366494
image1060,image1060_01_02.jpg,streetcar,"streetcar, tram, tramcar, trolley, trolley car",0.298676938
image1060,image1060_02_01.jpg,swimming trunks,"swimming trunks, bathing trunks",0.143869638
image1060,image1060_02_02.jpg,canoe,canoe,0.369311005
image1061,image1061.jpg,swimming trunks,"swimming trunks, bathing trunks",0.443018198
image1061,image1061_01_01.jpg,iPod,iPod,0.181960449
image1061,image1061_01_02.jpg,cellular telephone,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.229634076
image1061,image1061_02_01.jpg,swimming trunks,"swimming trunks, bathing trunks",0.862497628
image1061,image1061_02_02.jpg,maillot,maillot,0.301657051
image1062,image1062.jpg,seashore,"seashore, coast, seacoast, sea-coast",0.468158901
image1062,image1062_01_01.jpg,promontory,"promontory, headland, head, foreland",0.617512643
image1062,image1062_01_02.jpg,sarong,sarong,0.149328813
image1062,image1062_02_01.jpg,lakeside,"lakeside, lakeshore",0.188481644
image1062,image1062_02_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.521508098
image1063,image1063.jpg,sarong,sarong,0.263892621
image1063,image1063_01_01.jpg,coil,"coil, spiral, volute, whorl, helix",0.096829593
image1063,image1063_01_02.jpg,chain,chain,0.17494601
image1063,image1063_02_01.jpg,radio telescope,"radio telescope, radio reflector",0.221881866
image1063,image1063_02_02.jpg,swimming trunks,"swimming trunks, bathing trunks",0.232572004
image1064,image1064.jpg,banana,banana,0.186011717
image1064,image1064_01_01.jpg,barbershop,barbershop,0.145592347
image1064,image1064_01_02.jpg,neck brace,neck brace,0.164536893
image1064,image1064_02_01.jpg,seat belt,"seat belt, seatbelt",0.045356214
image1064,image1064_02_02.jpg,barbershop,barbershop,0.709032774
image1065,image1065.jpg,bow tie,"bow tie, bow-tie, bowtie",0.486937135
image1065,image1065_01_01.jpg,nipple,nipple,0.090719171
image1065,image1065_01_02.jpg,nipple,nipple,0.092609912
image1065,image1065_02_01.jpg,shower cap,shower cap,0.121560186
image1065,image1065_02_02.jpg,Band Aid,Band Aid,0.098713689
image1066,image1066.jpg,tench,"tench, Tinca tinca",0.288059145
image1066,image1066_01_01.jpg,bathing cap,"bathing cap, swimming cap",0.11112716
